key,label,total_return,annual_return,sharpe_ratio,max_drawdown,win_rate,avg_turnover,total_trades,objective_score
backtest_value_size_alpha,价值低波Alpha [近一年优选],0.48469783435788294,0.5117228516950127,2.2440234574449183,0.06650152636842721,0.5352697095435685,0.4800000000000001,25,93.208
flow_value_rotation,资金价值轮动 [高收益],0.533376439685282,0.5635881921546031,2.229832244990257,0.13263457787237265,0.5269709543568465,0.5733333333333334,25,92.188
flow_trend_confirm,资金趋势确认,0.5176707846387638,0.5468460398755985,1.9633864865829245,0.12561759060257327,0.5518672199170125,0.3866666666666667,25,88.379
capital_lowvol_barbell,资金低波杠铃,0.5091536238182666,0.5377700890024149,2.0882226537354187,0.13188614191988324,0.5228215767634855,0.5466666666666667,25,86.676
defensive_value_size,防守价值低波,0.4093533027041605,0.4315997527211688,2.106192467238738,0.06963784512596771,0.5477178423236515,0.45333333333333337,25,81.479
lowvol_core_satellite,低波核心卫星,0.41121348044196804,0.43357559718258076,2.0149082658335615,0.0806237223729106,0.5435684647302904,0.3866666666666667,25,79.473
quality_flow_compound,质量资金复合,0.4524618028963536,0.47741903680687514,1.87923894378395,0.13263457787237254,0.5435684647302904,0.5066666666666667,25,76.651
growth_flow_trend,成长资金趋势,0.40127145064483405,0.4230167512241574,1.680512047475562,0.1256175906025735,0.5269709543568465,0.41333333333333333,25,67.343
balanced_plus,综合均衡增强,0.3627368064123331,0.3821238871928192,1.6036806015176934,0.13169615081779196,0.5269709543568465,0.5466666666666667,25,59.439
pullback_buy,回调买入,0.3527982525515496,0.3715856195899385,1.592099166287349,0.13462745268786236,0.5103734439834025,0.6133333333333334,25,56.588
volume_breakout_confirm,放量突破确认,0.34373869483799613,0.36198246628888775,1.4364288220685695,0.1256175906025735,0.5269709543568465,0.4266666666666667,25,55.519
value_lowvol,价值低波,0.26826117999497323,0.282092825516814,1.424990782521153,0.09106377147160982,0.5228215767634855,0.5066666666666667,25,48.051
smart_money,聪明钱跟踪,0.291284488759449,0.30643956808581674,1.3280310302924414,0.1316961508177915,0.5103734439834025,0.56,25,44.708
alpha191_momentum_core,Alpha191 动量核心 [回测优选],0.23017570021207567,0.24186254348232228,1.3304306031847877,0.10397542554809247,0.46887966804979253,0.6933333333333335,25,36.978
oversold_flow_rebound,超跌资金反弹,0.22933080917214133,0.24097070998969894,1.248948691327684,0.11568566213030007,0.49377593360995853,0.6933333333333332,25,35.221
northbound_fav,外资偏好,0.20545761630867054,0.21578274664997976,1.0912109850490193,0.1213499443028716,0.5311203319502075,0.49333333333333335,25,31.757
deep_value,低估修复,0.1760315552930638,0.18476746362026875,1.0068620354055005,0.11544834754817734,0.5062240663900415,0.5333333333333333,25,25.856
garp,优质成长(GARP),0.15109209760175468,0.15850877820849152,0.8325191267619265,0.1313040184496378,0.5228215767634855,0.45333333333333337,25,19.361
dividend_value,红利价值,0.12904715233303432,0.13531931178442602,0.7794454395043278,0.12505965410740616,0.5062240663900415,0.5066666666666666,25,15.177
balanced,综合均衡,0.13321341627286132,0.1397003067335152,0.7750159477597351,0.13309142786011474,0.5062240663900415,0.4800000000000001,25,15.114
smallcap_reversal,小盘反转,0.12041351679246715,0.12624304665820651,0.7127959119223414,0.13130401844963813,0.5145228215767634,0.56,25,12.19
quality_growth,质量成长,0.07805252220979342,0.08175698676817933,0.5211927635808458,0.13130401844963757,0.5145228215767634,0.44000000000000006,25,4.363
limitup_hunter,涨停猎手,0.08913129007804521,0.09338394899255498,0.5668807736639863,0.17475778538219544,0.5145228215767634,0.5333333333333333,25,1.923
boll_mean_rev,布林均值回归 [胜率20.6%],0.056503716186148356,0.05915757851032066,0.47083001070868585,0.1665551185941888,0.47717842323651455,0.6,25,-5.015
trend_breakout,强势突破,0.0426701195094783,0.04466058924693872,0.3665900625860057,0.1893857883656751,0.5145228215767634,0.5066666666666667,25,-8.632
reversal_boll_mom,反转+布林+动量 [回测验证],0.03200224852981304,0.03348712646241414,0.33637852478521124,0.16655511859418914,0.4854771784232365,0.56,25,-9.905
alpha191_flow_volatility,Alpha191 资金波动,0.0009160742712879255,0.0009579068098906074,0.22567066642860786,0.11439382168591883,0.47717842323651455,0.7733333333333334,25,-13.104
alpha191_momentum_reversal,Alpha191 动量反转,-0.029497170042325105,-0.030822553225803295,0.04731521060417201,0.1611067961268513,0.46887966804979253,0.8266666666666667,25,-25.049
alpha191_balanced,Alpha191 价量均衡,-0.05180637441594116,-0.05410585110718957,-0.12741376465810592,0.15911924428046342,0.4896265560165975,0.8133333333333335,25,-29.977
intraday_reversal,日内反转 [回测Alpha+15%],-0.08317368372008793,-0.08680035576958556,-0.33953013705917146,0.17788402835387096,0.44398340248962653,0.7333333333333334,25,-40.364
